"Symbol","DeclaredAt","UsageCount","UsageFiles","Snippet"
"handleSaveExpense","C:\FacturalesNuevo\assets\js\expenses-page.js:1182","0","","window.handleSaveExpense = handleSaveExpense;"
"handleSearchClients","C:\FacturalesNuevo\assets\js\users-page.js:1076","0","","window.handleSearchClients = handleSearchClients;"
"handleSearchDrafts","C:\FacturalesNuevo\assets\js\quote-drafts-page.js:321","1","C:\FacturalesNuevo\assets\js\drafts-page.js:1","window.handleSearchDrafts = handleSearchDrafts;"
"handleSearchDrafts","C:\FacturalesNuevo\assets\js\drafts-page.js:321","1","C:\FacturalesNuevo\assets\js\quote-drafts-page.js:1","window.handleSearchDrafts = handleSearchDrafts;"
"handleSearchIssued","C:\FacturalesNuevo\assets\js\quote-issued-page.js:467","1","C:\FacturalesNuevo\assets\js\issued-page.js:1","window.handleSearchIssued = handleSearchIssued;"
"handleSearchIssued","C:\FacturalesNuevo\assets\js\issued-page.js:469","1","C:\FacturalesNuevo\assets\js\quote-issued-page.js:1","window.handleSearchIssued = handleSearchIssued;"
"handleSearchReceived","C:\FacturalesNuevo\invoices\facturas-recibidas.html:344","0","","window.handleSearchReceived = handleSearchReceived;"
"handleSearchTransactions","C:\FacturalesNuevo\assets\js\expenses-page.js:1184","1","C:\FacturalesNuevo\assets\js\expenses-page.js:1","window.handleSearchTransactions = handleSearchTransactions;"
"handleSearchTransactions","C:\FacturalesNuevo\assets\js\expenses-page.js:768","1","C:\FacturalesNuevo\assets\js\expenses-page.js:1","window.handleSearchTransactions = handleSearchTransactions;"
"handleTypeFilter","C:\FacturalesNuevo\assets\js\expenses-page.js:1187","0","","window.handleTypeFilter = handleTypeFilter;"
"hasBusinessInfo","C:\FacturalesNuevo\assets\js\businessInfo.js:266","0","","window.hasBusinessInfo = hasBusinessInfo;"
"hasInvoiceDefaults","C:\FacturalesNuevo\assets\js\invoice-defaults.js:347","0","","window.hasInvoiceDefaults = hasInvoiceDefaults;"
"hideClientDropdown","C:\FacturalesNuevo\assets\js\quote-clients.js:323","1","C:\FacturalesNuevo\assets\js\invoice-clients.js:1","window.hideClientDropdown = hideClientDropdown;"
"hideClientDropdown","C:\FacturalesNuevo\assets\js\invoice-clients.js:323","1","C:\FacturalesNuevo\assets\js\quote-clients.js:1","window.hideClientDropdown = hideClientDropdown;"
"highlightField","C:\FacturalesNuevo\assets\js\new-page.js:822","0","","window.highlightField = highlightField;"
"importClientsBulk","C:\FacturalesNuevo\assets\js\clients.js:592","2","C:\FacturalesNuevo\assets\js\users-page.js:2","window.importClientsBulk = importClientsBulk;"
"initNewPage","C:\FacturalesNuevo\invoices\new.html:2670","2","C:\FacturalesNuevo\invoices\new.html:1; C:\FacturalesNuevo\assets\js\new-page.js:1","if (window.initNewPage && typeof window.initNewPage === 'function') {"
"initNewPage","C:\FacturalesNuevo\assets\js\new-page.js:817","2","C:\FacturalesNuevo\invoices\new.html:2","window.initNewPage = initNewPage;"
"initQuotePage","C:\FacturalesNuevo\invoices\quote.html:2668","2","C:\FacturalesNuevo\invoices\quote.html:1; C:\FacturalesNuevo\assets\js\quote-page.js:1","if (window.initQuotePage && typeof window.initQuotePage === 'function') {"
"initQuotePage","C:\FacturalesNuevo\assets\js\quote-page.js:922","2","C:\FacturalesNuevo\invoices\quote.html:2","window.initQuotePage = initQuotePage;"
"invoiceDataHandler","C:\FacturalesNuevo\invoices\new.html:2146","3","C:\FacturalesNuevo\assets\js\new-page.js:2; C:\FacturalesNuevo\assets\js\invoice-data-handler.js:1","window.invoiceDataHandler = new InvoiceDataHandler();"
"InvoiceDataHandler","C:\FacturalesNuevo\assets\js\invoice-data-handler.js:427","3","C:\FacturalesNuevo\assets\js\new-page.js:2; C:\FacturalesNuevo\invoices\new.html:1","window.InvoiceDataHandler = InvoiceDataHandler;"
"InvoicePDFGenerator","C:\FacturalesNuevo\assets\js\invoice-pdf-generator.js:536","2","C:\FacturalesNuevo\assets\js\fiscal-page.js:2","window.InvoicePDFGenerator = InvoicePDFGenerator;"
"InvoicePDFGenerator","C:\FacturalesNuevo\assets\js\fiscal-page.js:512","2","C:\FacturalesNuevo\assets\js\invoice-pdf-generator.js:1; C:\FacturalesNuevo\assets\js\fiscal-page.js:1","if (typeof window.InvoicePDFGenerator === 'undefined') {"
"isInvoiceTransaction","C:\FacturalesNuevo\assets\js\transactions.js:520","0","","window.isInvoiceTransaction = isInvoiceTransaction;"
"isValidEmail","C:\FacturalesNuevo\assets\js\clients.js:590","1","C:\FacturalesNuevo\assets\js\csv-import.js:1","window.isValidEmail = isValidEmail;"
"isValidPhone","C:\FacturalesNuevo\assets\js\clients.js:591","0","","window.isValidPhone = isValidPhone;"
"loadDrafts","C:\FacturalesNuevo\assets\js\quote-drafts-page.js:316","5","C:\FacturalesNuevo\assets\js\drafts-page.js:3; C:\FacturalesNuevo\assets\js\quote-drafts-page.js:2","window.loadDrafts = loadDrafts;"
"loadDrafts","C:\FacturalesNuevo\assets\js\drafts-page.js:316","5","C:\FacturalesNuevo\assets\js\quote-drafts-page.js:3; C:\FacturalesNuevo\assets\js\drafts-page.js:2","window.loadDrafts = loadDrafts;"
"loadInvoiceLines","C:\FacturalesNuevo\assets\js\new-page.js:821","0","","window.loadInvoiceLines = loadInvoiceLines;"
"loadIssuedInvoices","C:\FacturalesNuevo\assets\js\issued-page.js:463","0","","window.loadIssuedInvoices = loadIssuedInvoices;"
"loadIssuedQuotes","C:\FacturalesNuevo\assets\js\quote-issued-page.js:461","0","","window.loadIssuedQuotes = loadIssuedQuotes;"
"loadOnboardingProgress","C:\FacturalesNuevo\assets\js\onboardingProgress.js:537","3","C:\FacturalesNuevo\scan-ocr.html:1; C:\FacturalesNuevo\index.html:1; C:\FacturalesNuevo\expenses.html:1","window.loadOnboardingProgress = loadOnboardingProgress;"
"loadPaymentMethodsFromSupabase","C:\FacturalesNuevo\assets\js\invoice-defaults.js:348","0","","window.loadPaymentMethodsFromSupabase = loadPaymentMethodsFromSupabase;"
"loadQuoteLines","C:\FacturalesNuevo\assets\js\quote-page.js:927","0","","window.loadQuoteLines = loadQuoteLines;"
"loadTransactions","C:\FacturalesNuevo\assets\js\expenses-page.js:1183","0","","window.loadTransactions = loadTransactions;"
"loadUserHeader","C:\FacturalesNuevo\assets\js\user-header.js:172","0","","window.loadUserHeader = loadUserHeader;"
"onAuthStateChange","C:\FacturalesNuevo\assets\js\auth.js:471","0","","window.onAuthStateChange = onAuthStateChange;"
"onPaymentMethodChange","C:\FacturalesNuevo\assets\js\invoice.js:429","0","","window.onPaymentMethodChange = onPaymentMethodChange;"
"openAddExpenseModal","C:\FacturalesNuevo\assets\js\expenses-page.js:1180","0","","window.openAddExpenseModal = openAddExpenseModal;"
"openBulkDeleteModal","C:\FacturalesNuevo\assets\js\users-page.js:1071","0","","window.openBulkDeleteModal = openBulkDeleteModal;"
"openCancelModal","C:\FacturalesNuevo\assets\js\quote-issued-page.js:464","1","C:\FacturalesNuevo\assets\js\issued-page.js:1","window.openCancelModal = openCancelModal;"
"openCancelModal","C:\FacturalesNuevo\assets\js\issued-page.js:466","1","C:\FacturalesNuevo\assets\js\quote-issued-page.js:1","window.openCancelModal = openCancelModal;"
"openCreateClientModal","C:\FacturalesNuevo\assets\js\users-page.js:1077","1","C:\FacturalesNuevo\assets\js\invoice.js:1","window.openCreateClientModal = openCreateClientModal;"
"openCreateClientModal","C:\FacturalesNuevo\assets\js\invoice.js:424","1","C:\FacturalesNuevo\assets\js\users-page.js:1","window.openCreateClientModal = openCreateClientModal;"
"openDeleteModal","C:\FacturalesNuevo\assets\js\users-page.js:1080","2","C:\FacturalesNuevo\assets\js\quote-drafts-page.js:1; C:\FacturalesNuevo\assets\js\drafts-page.js:1","window.openDeleteModal = openDeleteModal;"
"openDeleteModal","C:\FacturalesNuevo\assets\js\quote-drafts-page.js:318","2","C:\FacturalesNuevo\assets\js\users-page.js:1; C:\FacturalesNuevo\assets\js\drafts-page.js:1","window.openDeleteModal = openDeleteModal;"
"openDeleteModal","C:\FacturalesNuevo\assets\js\drafts-page.js:318","2","C:\FacturalesNuevo\assets\js\users-page.js:1; C:\FacturalesNuevo\assets\js\quote-drafts-page.js:1","window.openDeleteModal = openDeleteModal;"
"openDeleteTransactionModal","C:\FacturalesNuevo\assets\js\expenses-page.js:1198","0","","window.openDeleteTransactionModal = openDeleteTransactionModal;"
"openEditClientModal","C:\FacturalesNuevo\assets\js\users-page.js:1078","0","","window.openEditClientModal = openEditClientModal;"
"openImportModal","C:\FacturalesNuevo\assets\js\users-page.js:1084","0","","window.openImportModal = openImportModal;"
"openInvoiceCreateClientModal","C:\FacturalesNuevo\assets\js\invoice-clients.js:325","0","","window.openInvoiceCreateClientModal = openInvoiceCreateClientModal;"
"openPaymentMethodModal","C:\FacturalesNuevo\assets\js\invoice.js:427","0","","window.openPaymentMethodModal = openPaymentMethodModal;"
"openPortalSession","C:\FacturalesNuevo\settings.html:4984","0","","window.openPortalSession = async function() {"
"openQuoteCreateClientModal","C:\FacturalesNuevo\assets\js\quote-clients.js:325","0","","window.openQuoteCreateClientModal = openQuoteCreateClientModal;"
"openTeamDeleteModal","C:\FacturalesNuevo\settings.html:5834","0","","window.openTeamDeleteModal = function(id) {"
"openTeamUserModal","C:\FacturalesNuevo\settings.html:5774","1","C:\FacturalesNuevo\settings.html:1","window.openTeamUserModal = function(id) {"
"permanentlyDeleteInvoice","C:\FacturalesNuevo\assets\js\invoices.js:604","3","C:\FacturalesNuevo\assets\js\drafts-page.js:3","window.permanentlyDeleteInvoice = permanentlyDeleteInvoice;"
"permanentlyDeleteQuote","C:\FacturalesNuevo\assets\js\quotes.js:510","3","C:\FacturalesNuevo\assets\js\quote-drafts-page.js:3","window.permanentlyDeleteQuote = permanentlyDeleteQuote;"
"planLimits","C:\FacturalesNuevo\assets\js\plan-limits.js:266","28","C:\FacturalesNuevo\assets\js\quotes.js:4; C:\FacturalesNuevo\assets\js\scan-ocr-page.js:4; C:\FacturalesNuevo\assets\js\clients.js:4; C:\FacturalesNuevo\assets\js\invoices.js:4; C:\FacturalesNuevo\settings.html:3; C:\FacturalesNuevo\assets\js\users-page.js:3; C:\FacturalesNuevo\assets\js\productos-page.js:3; C:\FacturalesNuevo\assets\js\productos-db.js:2; C:\FacturalesNuevo\assets\js\plan-limits.js:1","window.planLimits = {"
"productosDB","C:\FacturalesNuevo\assets\js\productos-db.js:171","15","C:\FacturalesNuevo\assets\js\productos-page.js:12; C:\FacturalesNuevo\assets\js\product-search.js:3","window.productosDB = {"
"productSearch","C:\FacturalesNuevo\assets\js\product-search.js:129","5","C:\FacturalesNuevo\invoices\quote.html:2; C:\FacturalesNuevo\invoices\new.html:2; C:\FacturalesNuevo\assets\js\product-search.js:1","window.productSearch = {"
"quoteDataHandler","C:\FacturalesNuevo\invoices\quote.html:2146","3","C:\FacturalesNuevo\assets\js\quote-page.js:2; C:\FacturalesNuevo\assets\js\quote-data-handler.js:1","window.quoteDataHandler = new QuoteDataHandler();"
"QuoteDataHandler","C:\FacturalesNuevo\assets\js\quote-data-handler.js:425","3","C:\FacturalesNuevo\assets\js\quote-page.js:2; C:\FacturalesNuevo\invoices\quote.html:1","window.QuoteDataHandler = QuoteDataHandler;"
"QuotePDFGenerator","C:\FacturalesNuevo\assets\js\quote-pdf-generator.js:505","0","","window.QuotePDFGenerator = QuotePDFGenerator;"
"reactivateSubscription","C:\FacturalesNuevo\settings.html:5021","0","","window.reactivateSubscription = async function() {"
"renderOnboardingSteps","C:\FacturalesNuevo\assets\js\onboardingProgress.js:536","0","","window.renderOnboardingSteps = renderOnboardingSteps;"
"resendVerificationEmail","C:\FacturalesNuevo\assets\js\auth.js:475","6","C:\FacturalesNuevo\verify-email.html:3; C:\FacturalesNuevo\confirm-email.html:3","window.resendVerificationEmail = resendVerificationEmail;"
"resetPassword","C:\FacturalesNuevo\assets\js\auth.js:472","0","","window.resetPassword = resetPassword;"
"revenueFlow","C:\FacturalesNuevo\index.html:1417","3","C:\FacturalesNuevo\index.html:3","window.revenueFlow = revenueFlow;"
"saveBusinessInfo","C:\FacturalesNuevo\assets\js\businessInfo.js:262","1","C:\FacturalesNuevo\complete-profile.html:1","window.saveBusinessInfo = saveBusinessInfo;"
"saveDraft","C:\FacturalesNuevo\assets\js\new-page.js:818","2","C:\FacturalesNuevo\invoices\new.html:2","window.saveDraft = saveDraft;"
"saveInvoiceDefaults","C:\FacturalesNuevo\invoices\quote.html:2576","8","C:\FacturalesNuevo\invoices\new.html:4; C:\FacturalesNuevo\invoices\quote.html:3; C:\FacturalesNuevo\assets\js\invoice-defaults.js:1","if (typeof window.saveInvoiceDefaults === 'function') {"
"saveInvoiceDefaults","C:\FacturalesNuevo\invoices\quote.html:2613","8","C:\FacturalesNuevo\invoices\new.html:4; C:\FacturalesNuevo\invoices\quote.html:3; C:\FacturalesNuevo\assets\js\invoice-defaults.js:1","if (typeof window.saveInvoiceDefaults === 'function') {"
"saveInvoiceDefaults","C:\FacturalesNuevo\invoices\new.html:2614","8","C:\FacturalesNuevo\invoices\quote.html:4; C:\FacturalesNuevo\invoices\new.html:3; C:\FacturalesNuevo\assets\js\invoice-defaults.js:1","if (typeof window.saveInvoiceDefaults === 'function') {"
"saveInvoiceDefaults","C:\FacturalesNuevo\assets\js\invoice-defaults.js:344","8","C:\FacturalesNuevo\invoices\quote.html:4; C:\FacturalesNuevo\invoices\new.html:4","window.saveInvoiceDefaults = saveInvoiceDefaults;"
"saveInvoiceDefaults","C:\FacturalesNuevo\invoices\new.html:2577","8","C:\FacturalesNuevo\invoices\quote.html:4; C:\FacturalesNuevo\invoices\new.html:3; C:\FacturalesNuevo\assets\js\invoice-defaults.js:1","if (typeof window.saveInvoiceDefaults === 'function') {"
"saveNewClient","C:\FacturalesNuevo\assets\js\invoice.js:426","0","","window.saveNewClient = saveNewClient;"
"saveQuoteDraft","C:\FacturalesNuevo\assets\js\quote-page.js:923","2","C:\FacturalesNuevo\invoices\quote.html:2","window.saveQuoteDraft = saveQuoteDraft;"
"saveTeamUser","C:\FacturalesNuevo\settings.html:5807","0","","window.saveTeamUser = function(e) {"
"searchClientsAutocomplete","C:\FacturalesNuevo\assets\js\clients.js:396","3","C:\FacturalesNuevo\assets\js\scan-ocr-page.js:2; C:\FacturalesNuevo\assets\js\expenses-page.js:1","window.searchClientsAutocomplete = searchClientsAutocomplete;"
"selectClient","C:\FacturalesNuevo\assets\js\invoice.js:423","2","C:\FacturalesNuevo\assets\js\quote-clients.js:1; C:\FacturalesNuevo\assets\js\invoice-clients.js:1","window.selectClient = selectClient;"
"selectClientById","C:\FacturalesNuevo\assets\js\quote-clients.js:324","1","C:\FacturalesNuevo\assets\js\invoice-clients.js:1","window.selectClientById = selectClientById;"
"selectClientById","C:\FacturalesNuevo\assets\js\invoice-clients.js:324","1","C:\FacturalesNuevo\assets\js\quote-clients.js:1","window.selectClientById = selectClientById;"
"selectContact","C:\FacturalesNuevo\assets\js\expenses-page.js:1195","0","","window.selectContact = selectContact;"
"selectEntity","C:\FacturalesNuevo\complete-profile.html:812","0","","window.selectEntity = function (type) {"
"selectFormat","C:\FacturalesNuevo\complete-profile.html:937","0","","window.selectFormat = function (format) {"
"selectIRPF","C:\FacturalesNuevo\complete-profile.html:922","0","","window.selectIRPF = function (value) {"
"selectIVA","C:\FacturalesNuevo\complete-profile.html:907","0","","window.selectIVA = function (value) {"
"selectPlan","C:\FacturalesNuevo\settings.html:4950","0","","window.selectPlan = function(planKey) {"
"selectReset","C:\FacturalesNuevo\complete-profile.html:961","0","","window.selectReset = function (value) {"
"selectSettingsIRPF","C:\FacturalesNuevo\settings.html:3766","0","","window.selectSettingsIRPF = function(value) {"
"selectSettingsIVA","C:\FacturalesNuevo\settings.html:3752","0","","window.selectSettingsIVA = function(value) {"
"selectSettingsTaxType","C:\FacturalesNuevo\settings.html:3730","0","","window.selectSettingsTaxType = function(type) {"
"selectTaxType","C:\FacturalesNuevo\complete-profile.html:885","0","","window.selectTaxType = function (type) {"
"sendDocumentEmail","C:\FacturalesNuevo\assets\js\email-sender.js:94","6","C:\FacturalesNuevo\invoices\quote-preview.html:3; C:\FacturalesNuevo\invoices\preview.html:3","window.sendDocumentEmail = sendDocumentEmail;"
"setDashboardPerPage","C:\FacturalesNuevo\index.html:1993","0","","window.setDashboardPerPage = setDashboardPerPage;"
"setFinancePeriod","C:\FacturalesNuevo\index.html:2685","1","C:\FacturalesNuevo\index.html:1","window.setFinancePeriod = function(period) {"
"setFiscalQuarter","C:\FacturalesNuevo\assets\js\fiscal-page.js:121","5","C:\FacturalesNuevo\fiscal.html:5","window.setFiscalQuarter = function (q) {"
"setFiscalYear","C:\FacturalesNuevo\assets\js\fiscal-page.js:113","1","C:\FacturalesNuevo\assets\js\fiscal-page.js:1","window.setFiscalYear = function (y) {"
"setPricingInterval","C:\FacturalesNuevo\settings.html:4904","0","","window.setPricingInterval = function(interval) {"
"setResultsPerPage","C:\FacturalesNuevo\assets\js\expenses-page.js:1208","0","","window.setResultsPerPage = setResultsPerPage;"
"setRevenueRange","C:\FacturalesNuevo\index.html:1421","1","C:\FacturalesNuevo\index.html:1","window.setRevenueRange = function (rangeKey) {"
"setSelectedClientId","C:\FacturalesNuevo\assets\js\quote-clients.js:329","5","C:\FacturalesNuevo\assets\js\quote-page.js:2; C:\FacturalesNuevo\assets\js\new-page.js:2; C:\FacturalesNuevo\assets\js\invoice-clients.js:1","window.setSelectedClientId = setSelectedClientId;"
"setSelectedClientId","C:\FacturalesNuevo\assets\js\quote-page.js:123","5","C:\FacturalesNuevo\assets\js\new-page.js:2; C:\FacturalesNuevo\assets\js\quote-page.js:1; C:\FacturalesNuevo\assets\js\quote-clients.js:1; C:\FacturalesNuevo\assets\js\invoice-clients.js:1","if (typeof window.setSelectedClientId === 'function') {"
"setSelectedClientId","C:\FacturalesNuevo\assets\js\invoice-clients.js:329","5","C:\FacturalesNuevo\assets\js\quote-page.js:2; C:\FacturalesNuevo\assets\js\new-page.js:2; C:\FacturalesNuevo\assets\js\quote-clients.js:1","window.setSelectedClientId = setSelectedClientId;"
"setSelectedClientId","C:\FacturalesNuevo\assets\js\new-page.js:116","5","C:\FacturalesNuevo\assets\js\quote-page.js:2; C:\FacturalesNuevo\assets\js\invoice-clients.js:1; C:\FacturalesNuevo\assets\js\quote-clients.js:1; C:\FacturalesNuevo\assets\js\new-page.js:1","if (typeof window.setSelectedClientId === 'function') {"
"setUsersPerPage","C:\FacturalesNuevo\assets\js\users-page.js:392","0","","window.setUsersPerPage = setUsersPerPage;"
"showClientDropdown","C:\FacturalesNuevo\assets\js\quote-clients.js:322","1","C:\FacturalesNuevo\assets\js\invoice-clients.js:1","window.showClientDropdown = showClientDropdown;"
"showClientDropdown","C:\FacturalesNuevo\assets\js\invoice-clients.js:322","1","C:\FacturalesNuevo\assets\js\quote-clients.js:1","window.showClientDropdown = showClientDropdown;"
"showToast","C:\FacturalesNuevo\assets\js\quote-page.js:908","95","C:\FacturalesNuevo\settings.html:21; C:\FacturalesNuevo\invoices\preview.html:9; C:\FacturalesNuevo\invoices\quote-preview.html:9; C:\FacturalesNuevo\assets\js\quote-drafts-page.js:8; C:\FacturalesNuevo\assets\js\drafts-page.js:8; C:\FacturalesNuevo\assets\js\productos-page.js:8; C:\FacturalesNuevo\assets\js\fiscal-page.js:6; C:\FacturalesNuevo\invoices\new.html:4; C:\FacturalesNuevo\invoices\quote.html:4; C:\FacturalesNuevo\assets\js\modal-cliente.js:4; C:\FacturalesNuevo\assets\js\issued-page.js:3; C:\FacturalesNuevo\assets\js\new-page.js:2; C:\FacturalesNuevo\assets\js\user-header.js:2; C:\FacturalesNuevo\assets\js\quote-issued-page.js:2; C:\FacturalesNuevo\assets\js\subscription.js:2; C:\FacturalesNuevo\assets\js\quote-page.js:1; C:\FacturalesNuevo\assets\js\scan-ocr-page.js:1; C:\FacturalesNuevo\assets\js\toast.js:1","if (window.showToast && typeof window.showToast === 'function') {"
"showToast","C:\FacturalesNuevo\assets\js\toast.js:118","95","C:\FacturalesNuevo\settings.html:21; C:\FacturalesNuevo\invoices\preview.html:9; C:\FacturalesNuevo\invoices\quote-preview.html:9; C:\FacturalesNuevo\assets\js\quote-drafts-page.js:8; C:\FacturalesNuevo\assets\js\drafts-page.js:8; C:\FacturalesNuevo\assets\js\productos-page.js:8; C:\FacturalesNuevo\assets\js\fiscal-page.js:6; C:\FacturalesNuevo\invoices\new.html:4; C:\FacturalesNuevo\assets\js\modal-cliente.js:4; C:\FacturalesNuevo\invoices\quote.html:4; C:\FacturalesNuevo\assets\js\issued-page.js:3; C:\FacturalesNuevo\assets\js\quote-page.js:2; C:\FacturalesNuevo\assets\js\new-page.js:2; C:\FacturalesNuevo\assets\js\quote-issued-page.js:2; C:\FacturalesNuevo\assets\js\user-header.js:2; C:\FacturalesNuevo\assets\js\subscription.js:2; C:\FacturalesNuevo\assets\js\scan-ocr-page.js:1","window.showToast = showToast;"
"showToast","C:\FacturalesNuevo\assets\js\user-header.js:27","95","C:\FacturalesNuevo\settings.html:21; C:\FacturalesNuevo\invoices\preview.html:9; C:\FacturalesNuevo\invoices\quote-preview.html:9; C:\FacturalesNuevo\assets\js\quote-drafts-page.js:8; C:\FacturalesNuevo\assets\js\drafts-page.js:8; C:\FacturalesNuevo\assets\js\productos-page.js:8; C:\FacturalesNuevo\assets\js\fiscal-page.js:6; C:\FacturalesNuevo\invoices\new.html:4; C:\FacturalesNuevo\assets\js\modal-cliente.js:4; C:\FacturalesNuevo\invoices\quote.html:4; C:\FacturalesNuevo\assets\js\issued-page.js:3; C:\FacturalesNuevo\assets\js\quote-page.js:2; C:\FacturalesNuevo\assets\js\new-page.js:2; C:\FacturalesNuevo\assets\js\quote-issued-page.js:2; C:\FacturalesNuevo\assets\js\subscription.js:2; C:\FacturalesNuevo\assets\js\toast.js:1; C:\FacturalesNuevo\assets\js\user-header.js:1; C:\FacturalesNuevo\assets\js\scan-ocr-page.js:1","if (typeof window.showToast === 'function') {"
"showToast","C:\FacturalesNuevo\assets\js\issued-page.js:449","95","C:\FacturalesNuevo\settings.html:21; C:\FacturalesNuevo\invoices\preview.html:9; C:\FacturalesNuevo\invoices\quote-preview.html:9; C:\FacturalesNuevo\assets\js\quote-drafts-page.js:8; C:\FacturalesNuevo\assets\js\drafts-page.js:8; C:\FacturalesNuevo\assets\js\productos-page.js:8; C:\FacturalesNuevo\assets\js\fiscal-page.js:6; C:\FacturalesNuevo\invoices\new.html:4; C:\FacturalesNuevo\assets\js\modal-cliente.js:4; C:\FacturalesNuevo\invoices\quote.html:4; C:\FacturalesNuevo\assets\js\user-header.js:2; C:\FacturalesNuevo\assets\js\issued-page.js:2; C:\FacturalesNuevo\assets\js\new-page.js:2; C:\FacturalesNuevo\assets\js\quote-issued-page.js:2; C:\FacturalesNuevo\assets\js\quote-page.js:2; C:\FacturalesNuevo\assets\js\subscription.js:2; C:\FacturalesNuevo\assets\js\toast.js:1; C:\FacturalesNuevo\assets\js\scan-ocr-page.js:1","if (typeof window.showToast === 'function' && window.showToast !== _showIssuedToast) {"
"showToast","C:\FacturalesNuevo\assets\js\new-page.js:772","95","C:\FacturalesNuevo\settings.html:21; C:\FacturalesNuevo\invoices\preview.html:9; C:\FacturalesNuevo\invoices\quote-preview.html:9; C:\FacturalesNuevo\assets\js\quote-drafts-page.js:8; C:\FacturalesNuevo\assets\js\drafts-page.js:8; C:\FacturalesNuevo\assets\js\productos-page.js:8; C:\FacturalesNuevo\assets\js\fiscal-page.js:6; C:\FacturalesNuevo\invoices\new.html:4; C:\FacturalesNuevo\invoices\quote.html:4; C:\FacturalesNuevo\assets\js\modal-cliente.js:4; C:\FacturalesNuevo\assets\js\issued-page.js:3; C:\FacturalesNuevo\assets\js\quote-page.js:2; C:\FacturalesNuevo\assets\js\user-header.js:2; C:\FacturalesNuevo\assets\js\quote-issued-page.js:2; C:\FacturalesNuevo\assets\js\subscription.js:2; C:\FacturalesNuevo\assets\js\new-page.js:1; C:\FacturalesNuevo\assets\js\scan-ocr-page.js:1; C:\FacturalesNuevo\assets\js\toast.js:1","if (window.showToast && typeof window.showToast === 'function') {"
"showToast","C:\FacturalesNuevo\assets\js\quote-issued-page.js:447","95","C:\FacturalesNuevo\settings.html:21; C:\FacturalesNuevo\invoices\preview.html:9; C:\FacturalesNuevo\invoices\quote-preview.html:9; C:\FacturalesNuevo\assets\js\quote-drafts-page.js:8; C:\FacturalesNuevo\assets\js\drafts-page.js:8; C:\FacturalesNuevo\assets\js\productos-page.js:8; C:\FacturalesNuevo\assets\js\fiscal-page.js:6; C:\FacturalesNuevo\invoices\new.html:4; C:\FacturalesNuevo\assets\js\modal-cliente.js:4; C:\FacturalesNuevo\invoices\quote.html:4; C:\FacturalesNuevo\assets\js\issued-page.js:3; C:\FacturalesNuevo\assets\js\user-header.js:2; C:\FacturalesNuevo\assets\js\new-page.js:2; C:\FacturalesNuevo\assets\js\subscription.js:2; C:\FacturalesNuevo\assets\js\quote-page.js:2; C:\FacturalesNuevo\assets\js\toast.js:1; C:\FacturalesNuevo\assets\js\scan-ocr-page.js:1; C:\FacturalesNuevo\assets\js\quote-issued-page.js:1","if (window.showToast && typeof window.showToast === 'function') {"
"signIn","C:\FacturalesNuevo\assets\js\auth.js:465","14","C:\FacturalesNuevo\signin.html:8; C:\FacturalesNuevo\signup.html:3; C:\FacturalesNuevo\settings.html:2; C:\FacturalesNuevo\assets\js\auth.js:1","window.signIn = signIn;"
"signInWithGoogle","C:\FacturalesNuevo\assets\js\auth.js:466","6","C:\FacturalesNuevo\signup.html:3; C:\FacturalesNuevo\signin.html:3","window.signInWithGoogle = signInWithGoogle;"
"signOut","C:\FacturalesNuevo\assets\js\user-header.js:18","3","C:\FacturalesNuevo\assets\js\user-header.js:1; C:\FacturalesNuevo\assets\js\auth.js:1; C:\FacturalesNuevo\assets\js\auth-guard.js:1","if (typeof window.signOut === 'function') {"
"signOut","C:\FacturalesNuevo\assets\js\auth.js:467","3","C:\FacturalesNuevo\assets\js\user-header.js:2; C:\FacturalesNuevo\assets\js\auth-guard.js:1","window.signOut = signOut;"
"signUp","C:\FacturalesNuevo\assets\js\auth.js:464","5","C:\FacturalesNuevo\signup.html:5","window.signUp = signUp;"
"sortTransactions","C:\FacturalesNuevo\assets\js\expenses-page.js:288","7","C:\FacturalesNuevo\expenses.html:6; C:\FacturalesNuevo\assets\js\expenses-page.js:1","window.sortTransactions = function(column) {"
"subscriptionHelper","C:\FacturalesNuevo\assets\js\subscription.js:149","7","C:\FacturalesNuevo\settings.html:4; C:\FacturalesNuevo\assets\js\plan-limits.js:2; C:\FacturalesNuevo\assets\js\subscription.js:1","window.subscriptionHelper = {"
"supabaseAuthReady","C:\FacturalesNuevo\assets\js\supabaseClient.js:52","20","C:\FacturalesNuevo\settings.html:3; C:\FacturalesNuevo\assets\js\subscription-guard.js:2; C:\FacturalesNuevo\confirm-email.html:2; C:\FacturalesNuevo\assets\js\auth-guard.js:2; C:\FacturalesNuevo\assets\js\access-logger.js:2; C:\FacturalesNuevo\assets\js\checkBusinessInfo.js:2; C:\FacturalesNuevo\complete-profile.html:1; C:\FacturalesNuevo\subscribe.html:1; C:\FacturalesNuevo\invoices\quote.html:1; C:\FacturalesNuevo\invoices\new.html:1; C:\FacturalesNuevo\billing\success.html:1; C:\FacturalesNuevo\invoices\quote-preview.html:1; C:\FacturalesNuevo\invoices\preview.html:1","window.supabaseAuthReady = new Promise(function (resolve) {"
